"Longitude","Latitude","MeanSharkSpatialDensity"
-89.625,26.125,4.31136577390134e-05
-89.125,26.125,9.39366582315415e-05
-88.875,26.125,7.65220756875351e-05
-88.625,26.125,4.06732615374494e-05
-88.375,26.125,8.13465230748989e-05
-88.125,26.125,5.79357511014678e-05
-87.625,26.125,5.72305179957766e-05
-87.375,26.125,1.97769077203702e-05
-87.125,26.125,4.82615578221157e-05
-85.375,26.125,3.99200544052292e-05
-85.125,26.125,6.80741941323504e-05
-84.875,26.125,6.87983920215629e-05
-83.625,26.125,9.2729453172069e-05
-83.125,26.125,3.72204995073844e-05
-82.875,26.125,1.89094989764271e-05
-82.625,26.125,5.93332042626571e-05
35.125,26.125,2.60768083535368e-05
50.375,26.125,3.67445936717559e-05
50.875,26.125,4.6361154090846e-05
51.875,26.125,2.00840022444027e-05
52.125,26.125,1.85834724106826e-05
53.375,26.125,3.67445936717559e-05
53.875,26.125,4.31136577390134e-05
54.375,26.125,0.000113843045255635
54.625,26.125,0.000318940787110478
54.875,26.125,6.53237220831215e-05
55.125,26.125,3.87248437618837e-05
55.625,26.125,5.6728495110292e-05
55.875,26.125,3.0034119845368e-05
56.375,26.125,2.14852116187103e-05
56.625,26.125,2.91867581836414e-05
56.875,26.125,3.15465767926071e-05
-96.875,25.875,4.82615578221157e-05
-96.125,25.875,0.000113456990220584
-94.625,25.875,2.99400398944272e-05
-94.375,25.875,0.000110785069409758
-93.875,25.875,2.8364247555146e-05
-93.375,25.875,0.000122019788250327
-92.375,25.875,3.78189979528543e-05
-92.125,25.875,0.000122019788250327
-91.875,25.875,3.82665602955967e-05
-91.375,25.875,0.000123638033983298
-90.875,25.875,0.000122019788250327
-90.125,25.875,0.000113456990220584
-89.875,25.875,2.69460360868834e-05
-89.625,25.875,0.000118751398986205
-89.375,25.875,2.8870752430521e-05
-88.875,25.875,7.18560986570083e-05
-87.625,25.875,1.85834724106826e-05
-87.375,25.875,2.00840022444027e-05
-85.125,25.875,4.01680044888053e-05
-84.875,25.875,3.99200544052292e-05
-84.625,25.875,6.95381604600698e-05
-84.125,25.875,8.50927463034168e-05
-83.875,25.875,2.26913980441168e-05
-83.625,25.875,2.26913980441168e-05
-83.125,25.875,4.31243788625579e-05
-82.875,25.875,4.32970773545094e-05
-82.625,25.875,5.93953700445127e-05
34.875,25.875,5.16333275299985e-05
50.375,25.875,3.67445936717559e-05
50.875,25.875,2.19967641896801e-05
51.875,25.875,2.00840022444027e-05
52.875,25.875,3.6536996049108e-05
53.125,25.875,3.67445936717559e-05
55.375,25.875,0.000118240408482961
56.375,25.875,3.91942339774687e-05
56.625,25.875,5.43449459655676e-05
56.875,25.875,0.000193185405805707
57.125,25.875,0.000109056811197661
57.375,25.875,4.19504831370432e-05
-113.375,25.625,2.8364247555146e-05
-112.875,25.625,2.77555736829527e-05
