ID,Region,VesselType,OverlapMean,OverlapMedian,OverlapSD,OverlapSE,ColRiskMean,ColRiskMedian,ColRiskSD,ColRiskSE
ID273,IND_NW,Total,89.20068027,89.20068027,15.27254442,10.79931973,2.44E-05,2.25E-05,9.80E-06,3.10E-06
ID274,IND_NW,Total,100,100,NA,NA,0.000667088,0.000505151,0.000743809,0.000429438
ID275,IND_NW,Total,100,100,0,0,0.01329589,0.012020665,0.013609848,0.006804924
ID276,IND_NW,Total,88.52380952,95,14.59234415,6.525894696,0.00308341,0.001921081,0.00301465,0.000615363
ID277,IND_NW,Total,100,100,0,0,0.003489671,0.003549533,0.003731244,0.001865622
ID278,IND_SW,Total,100,100,0,0,0.000131517,0.000122027,4.12E-05,1.24E-05
ID279,IND_SW,Total,100,100,0,0,0.00010684,0.000109057,5.17E-05,1.22E-05
ID280,IND_NW,Total,96.31578947,96.31578947,NA,NA,0.003086233,0.002689059,0.002639543,0.000605553
ID281,IND_NW,Total,100,100,NA,NA,0.000290887,0.000290887,0.000322379,0.000227956
ID282,IND_SW,Total,100,100,0,0,0.000221193,0.000146617,0.000232228,3.16E-05
ID283,IND_SW,Total,100,100,0,0,0.000127641,0.000114269,5.63E-05,7.27E-06
ID284,PAC_W,Total,99.86263736,100,0.274725275,0.137362637,0.000915317,0.000552645,0.000954637,0.000121239
ID285,ATL_N,Total,100,100,0,0,0.000131314,4.59E-05,0.000131145,3.39E-05
ID286,ATL_S,Total,100,100,0,0,0.000730031,0.000845706,0.000246858,6.37E-05
ID287,ATL_N,Total,100,100,NA,NA,0.000338033,0.00014003,0.000336226,8.68E-05
ID288,PAC_E,Total,100,100,NA,NA,0.000414795,0.000256764,0.000408197,0.000123076
ID289,PAC_E,Total,100,100,0,0,0.000175954,0.000110013,0.000165557,2.12E-05
ID290,PAC_E,Total,100,100,NA,NA,0.001089576,0.000220537,0.002598061,0.00086602
ID291,PAC_E,Total,100,100,NA,NA,5.42E-05,5.69E-05,1.88E-05,7.68E-06
ID292,IND_NW,Total,99.44444444,100,1.242259987,0.555555556,0.002568578,0.001780428,0.002647569,0.000624038
ID293,IND_NW,Total,100,100,0,0,0.002255253,0.001757125,0.001851336,0.000617112
ID294,IND_NW,Total,100,100,0,0,0.004219414,0.0041317,0.002306336,0.000815413
ID295,IND_NW,Total,100,100,NA,NA,0.030029497,0.030029497,NA,NA
ID296,IND_NW,Total,100,100,NA,NA,0.002108107,0.00220057,0.000461371,0.000230685
ID297,IND_NW,Total,100,100,0,0,0.004191018,0.003333036,0.003203166,0.00113249
ID298,IND_NW,Total,100,100,0,0,0.005049058,0.004046786,0.002915408,0.001457704
ID299,IND_NW,Total,96.11111111,100,8.695819912,3.888888889,0.003092879,0.002836669,0.002125723,0.000531431
ID300,IND_NW,Total,100,100,0,0,0.023387826,0.015316572,0.027368824,0.0070666
ID301,IND_NW,Total,100,100,0,0,0.013420282,0.011662633,0.010847862,0.004428621
ID302,IND_NW,Total,99.33333333,100,1.632993162,0.666666667,0.010027779,0.010288235,0.004611871,0.001118543
ID303,IND_NW,Total,100,100,0,0,0.014225784,0.008022149,0.016698488,0.003935871
ID304,IND_NW,Total,100,100,0,0,0.010522964,0.006525263,0.00941984,0.001922817
ID305,IND_NW,Total,100,100,0,0,0.021996086,0.013802043,0.021992954,0.00377176
ID306,ATL_N,Total,100,100,0,0,0.001034015,0.000562342,0.000846331,0.000172757
ID307,ATL_N,Total,100,100,NA,NA,0.003661378,0.002678587,0.002539085,0.001269542
ID308,ATL_N,Total,100,100,NA,NA,0.000868861,0.000611392,0.000809335,0.000233635
ID309,ATL_N,Total,100,100,0,0,0.003911775,0.002960179,0.003929469,0.000599238
ID310,ATL_N,Total,87.82312925,87.82312925,2.982355132,2.108843537,0.000887549,0.000808414,0.000680983,0.000175829
ID311,ATL_N,Total,97.6566182,100,3.542870969,1.339079359,0.002653593,0.002093236,0.002519735,0.00022015
ID312,ATL_N,Total,95.4716811,99.24242424,9.509804008,3.882361229,0.001064123,0.000832939,0.00096763,0.000104342
ID313,ATL_N,Total,100,100,0,0,0.001420239,0.000834632,0.001627978,0.000283395
ID314,ATL_N,Total,97.45748299,97.61904762,1.71587599,0.767363071,0.000859996,0.000808628,0.000481039,6.06E-05
ID315,ATL_N,Total,97.22222222,100,6.804138174,2.777777778,0.000478689,0.000354714,0.000421662,5.90E-05
ID316,ATL_N,Total,94.73801507,97.72727273,5.382949973,3.107847616,0.001245831,0.001043684,0.001104223,0.000142555
ID317,ATL_N,Total,100,100,0,0,0.001334003,0.000895947,0.001143788,0.000140791
ID318,ATL_N,Total,97.98051948,100,3.778634359,1.689856658,0.002237839,0.000903316,0.00287555,0.000365195
